Feature,Mean_SHAP_Value,Company,Rank
Low,12.236038583338988,TESLA,1
High,9.812889163486952,TESLA,2
MA_3,5.91566803006152,TESLA,3
Open,5.760317909359233,TESLA,4
MA_7,5.5458252133683805,TESLA,5
Low,4.878343211324553,APPLE,1
High,3.6204071283491195,APPLE,2
Open,3.4447426727889945,APPLE,3
MA_3,3.3233556184930233,APPLE,4
MA_7,1.5206499816024113,APPLE,5
Low,6.326256220247137,AMAZON,1
High,2.9664412631785644,AMAZON,2
Open,0.9136933516333751,AMAZON,3
MA_3,0.4366190675866546,AMAZON,4
MA_7,0.36548153324462723,AMAZON,5
